horse_id,horse,sire,dam,damsire,sex,total_runs,wins,peak_official_rating,total_prize
2116175,Croeso Cymraeg (GB),Dick Turpin (IRE),Croeso Cusan (GB),Diktat,G,1,0,81.0,724.8
2117568,Chagall (IRE),Slade Power (IRE),Dangle (IRE),Desert Style,G,2,0,56.0,1521.48
2127472,Under Curfew (GB),Stimulation (IRE),Thicket (GB),Wolfhound,G,3,0,62.0,5157.6
2133922,Michaels Choice (GB),War Command (USA),Todber (GB),Cape Cross,G,2,0,69.0,0.0
2140735,Eligible (IRE),Dark Angel (IRE),Secrets Away (IRE),Refuse To Bend,G,3,0,80.0,0.0
2142258,Gilt Edge (GB),Havana Gold (IRE),Bright Edge (GB),Danehill Dancer,M,2,0,59.0,535.5
2150701,Sunset Nova (IRE),Zebedee (GB),Melodize (GB),Iceman,G,2,1,56.0,0.0
2152684,Mary Salome (IRE),Zebedee (GB),Christa Maria (GB),Alhaarth,M,1,0,78.0,0.0
2152691,Royal Countess (GB),Coach House (IRE),Dont Tell Nan (GB),Major Cadeaux,M,1,0,49.0,0.0
2152749,Gold Arch (GB),Archipenko (USA),Goldrenched (IRE),Montjeu,G,2,0,67.0,0.0
2181259,Han Solo (GB),Havana Gold (IRE),Hearsay (GB),Dubai Destination,G,1,0,47.0,0.0
2189334,The Cruising Lord (GB),Coach House (IRE),Lady Filly (GB),Atraf,G,2,0,69.0,4298.0
2192358,Outbox (GB),Frankel (GB),Emirates Queen (GB),Street Cry,G,3,0,101.0,5649.0
2201756,Magi Gal (IRE),Magician (IRE),Inspeight Of Her (USA),Speightstown,M,1,0,47.0,0.0
2207336,Happaugue (IRE),Morpheus (GB),Glen Ginnie (IRE),Red Clubs,G,1,0,58.0,0.0
2207432,Bopedro (FR),Pedro The Great (USA),Breizh Touch (FR),Country Reel,G,1,0,101.0,1510.0
2217877,Light And Dark (GB),Shamardal (USA),Colour (AUS),More Than Ready,G,1,0,93.0,0.0
2219561,Azano (GB),Oasis Dream (GB),Azanara (IRE),Hurricane Run,G,1,0,95.0,0.0
2221628,Themaxwecan (IRE),Maxios (GB),Psychometry (FR),Danehill Dancer,G,2,0,92.0,0.0
2232392,Global Heat (IRE),Toronado (IRE),Raskutani (GB),Dansili,G,1,0,102.0,0.0
2232411,Solid Stone (IRE),Shamardal (USA),Landmark (USA),Arch,G,2,0,110.0,0.0
2241073,Baryshnikov (GB),Mastercraftsman (IRE),Tara Moon (GB),Pivotal,G,1,0,90.0,1902.0
2241131,Tempus (GB),Kingman (GB),Passage Of Time (GB),Dansili,G,1,0,109.0,0.0
2250067,Merricourt (IRE),Mizzen Mast (USA),Elite (GB),Invincible Spirit,G,1,0,60.0,214.2
2259864,Atalanta Breeze (GB),Champs Elysees (GB),Craighall (GB),Dubawi,M,2,0,70.0,1815.96
2261763,The Astrologist (AUS),Zoustar (AUS),Aquada (AUS),Flying Spur,G,1,0,115.0,26900.0
2264864,Lady Reset (GB),Yorgunnabelucky (USA),Reset City (GB),Reset,M,1,0,76.0,802.01
2264871,Chairmanoftheboard (IRE),Slade Power (IRE),Bound Copy (USA),Street Cry,G,2,0,91.0,0.0
2264872,Mukha Magic (GB),Mukhadram (GB),Sweet Lemon (IRE),Oratorio,G,1,1,72.0,5050.8
2264874,Rhythmic Intent (IRE),Lope De Vega (IRE),Kerry Gal (IRE),Galileo,G,3,0,92.0,2835.0
2274346,Power Of States (IRE),Lope De Vega (IRE),Allegation (FR),Lawman,G,1,0,84.0,0.0
2280379,Bielsa (IRE),Invincible Spirit (IRE),Bourbon Ball (USA),Peintre Celebre,G,1,0,100.0,0.0
2283889,Sagauteur (FR),Literato (FR),Saga DOuilly (FR),Linamix,G,1,0,73.0,907.98
2288302,Persuer (GB),Intello (GER),Chase The Lady (USA),Atticus,M,1,0,54.0,0.0
2292606,Mostawaa (GB),Poets Voice (GB),Mumtaza (GB),Nayef,G,3,3,77.0,31404.0
2309717,Echoes In Rain (FR),Authorized (IRE),Amarantine (FR),Kings Best,M,1,0,102.0,0.0
2315258,Grandmaster Flash (IRE),Australia (GB),Kittens (GB),Marju,G,3,0,73.0,0.0
2324180,Phoenix Open (USA),Scat Daddy (USA),Katie Get Excited (USA),Stevie Wonderboy,G,1,0,50.0,0.0
2327859,Ahorsewithnoname (GB),Cacique (IRE),Sea Of Galilee (GB),Galileo,M,2,2,96.0,103080.0
2334601,Ghaly (GB),Dubawi (IRE),Hanky Panky (IRE),Galileo,G,1,0,102.0,0.0
2334605,Stormbomber (CAN),Stormy Atlantic (USA),Swanky Bubbles (CAN),Ascot Knight,G,2,0,61.0,0.0
2377016,Sucellus (GB),Dansili (GB),Primevere (IRE),Singspiel,G,4,0,82.0,270.0
2394496,HMS President (IRE),Excelebration (IRE),Dance Hall Girl (IRE),Dansili,G,1,0,96.0,24170.0
2394510,Masterdream (FR),Sea The Stars (IRE),Santa Christiana (FR),Danehill Dancer,G,3,0,67.0,2723.94
2394521,Postileo (IRE),Galileo (IRE),Posterity (IRE),Indian Ridge,G,2,0,98.0,3020.0
2394522,Prince Imperial (USA),Frankel (GB),Proportional (GB),Beat Hollow,G,2,0,94.0,0.0
2394610,Dawn Rising (IRE),Galileo (IRE),Devoted To You (IRE),Danehill Dancer,G,1,1,102.0,54000.0
2394628,Delta Dawn (IRE),Galileo (IRE),Fire Lily (IRE),Dansili,G,1,0,67.0,0.0
2394794,Rocket Rod (IRE),Australia (GB),Tessa Reef (IRE),Mark Of Esteem,G,2,2,67.0,8793.12
2407917,Goodbye Someday (IRE),Stowaway (GB),Liss A Paoraigh (IRE),Husyan,G,1,0,,0.0
2426437,Sparkle In His Eye (GB),Sea The Stars (IRE),Nyarhini (GB),Fantastic Light,G,1,0,61.0,1719.2
2437763,Adapt To Dan (IRE),Dandy Man (IRE),Adaptation (GB),Spectrum,G,1,0,67.0,0.0
2438882,Sharrabang (GB),Coach House (IRE),Dulally (GB),Dubawi,G,2,0,47.0,1595.1
2438883,Call Me Ginger (GB),Orientor (GB),Primo Heights (GB),Primo Valentino,G,2,0,89.0,0.0
2455818,Mums Tipple (IRE),Footstepsinthesand (GB),Colomone Cross (IRE),Xaar,G,1,0,100.0,10570.0
2455830,Skontonovski (GB),Harbour Watch (IRE),An Ghalanta (IRE),Holy Roman Emperor,G,1,0,56.0,0.0
2456577,One Night Stand (GB),Swiss Spirit (GB),Tipsy Girl (GB),Haafhd,G,2,0,91.0,0.0
2456622,Shining Aitch (GB),Sepoy (AUS),Light Shine (GB),Dansili,G,1,0,59.0,0.0
2456719,Russian Rumour (IRE),Make Believe (GB),Russian Rave (GB),Danehill Dancer,M,3,3,69.0,11619.48
2469501,Cardano (USA),Oasis Dream (GB),Astorgs Galaxy (GB),Galileo,G,3,0,87.0,0.0
2479598,Masque Of Anarchy (IRE),Sir Percy (GB),Charming (IRE),Invincible Spirit,G,3,0,71.0,0.0
2489325,Sandret (IRE),Zebedee (GB),Sava Sunset (IRE),Manduro,G,1,0,68.0,275.4
2497891,Fortamour (IRE),Es Que Love (IRE),Kathy Sun (IRE),Intikhab,G,3,0,79.0,0.0
2537436,Daniel Deronda (GB),Siyouni (FR),Madonna DellOrto (GB),Montjeu,G,1,0,70.0,0.0
2537452,One Step Beyond (IRE),Exceed And Excel (AUS),Yours Truly (IRE),Dark Angel,G,1,0,67.0,1552.16
2537459,Repartee (IRE),Invincible Spirit (IRE),Pleasantry (GB),Johannesburg,G,1,0,60.0,0.0
2537502,Alligator Alley (GB),Kingman (GB),Overturned (GB),Cape Cross,G,2,0,94.0,7608.0
2537615,Kings Lynn (GB),Cable Bay (IRE),Kinematic (GB),Kyllachy,G,1,0,107.0,0.0
2537620,Star Of St James (GER),Equiano (FR),Slight Advantage (IRE),Peintre Celebre,G,2,0,53.0,939.42
2550181,Urban Artist (GB),Cityscape (GB),Cill Rialaig (GB),Environment Friend,M,2,0,98.0,0.0
2550848,Coeur De Pierre (FR),Zanzibari (USA),Twilight Tear (GB),Rock Of Gibraltar,G,1,0,110.0,0.0
2550907,Hey Ho Lets Go (GB),Dream Ahead (USA),Lookslikeanangel (GB),Holy Roman Emperor,G,1,0,50.0,0.0
2567863,Shanroe (GB),Multiplex (GB),Pugnacious Lady (GB),Hernando,G,1,0,103.0,0.0
